,Producto,Precio Final,Descuento,URL
10,Notebook Asus N4020 128gb Ssd 4gb 15.6 Full Hd Windows 10,$ 46.999,7% OFF,https://articulo.mercadolibre.com.ar/MLA-932471563-notebook-asus-n4020-128gb-ssd-4gb-156-full-hd-windows-10-_JM?variation=92920471032&hide_psmb=true#reco_item_pos=13&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
11,Xiaomi Redmi Note 10 5g Dual Sim 128 Gb Gris Grafito 4 Gb Ram,$ 42.999,14% OFF,https://articulo.mercadolibre.com.ar/MLA-932429351-xiaomi-redmi-note-10-5g-dual-sim-128-gb-gris-grafito-4-gb-ram-_JM?hide_psmb=true#reco_item_pos=14&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
12,Auriculares In-ear Inalámbricos Sony Wi-c200 Blanco,$ 2.799,12% OFF,https://articulo.mercadolibre.com.ar/MLA-932373585-auriculares-in-ear-inalambricos-sony-wi-c200-blanco-_JM?hide_psmb=true#reco_item_pos=15&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
13,Xiaomi Imilab Kw66 Smart Watch 1.28  Caja De  Aleación De Zinc  Silver Malla  Green,$ 4.63050,10% OFF,https://articulo.mercadolibre.com.ar/MLA-1102471062-xiaomi-imilab-kw66-smart-watch-128-caja-de-aleacion-de-zinc-silver-malla-green-_JM?hide_psmb=true#reco_item_pos=16&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
14,Smart Tv Tcl L42s6500 Led Full Hd 42  220v,$ 39.599,7% OFF,https://articulo.mercadolibre.com.ar/MLA-1101512061-smart-tv-tcl-l42s6500-led-full-hd-42-220v-_JM?hide_psmb=true#reco_item_pos=17&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
15,Zapatillas Topper Ultralight Ii W 52550 - Nuevo!,$ 3.74925,25% OFF,https://articulo.mercadolibre.com.ar/MLA-916308936-zapatillas-topper-ultralight-ii-w-52550-nuevo-_JM?hide_psmb=true#reco_item_pos=18&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
16,Barbijo Quirurgico Tapaboca Descartable Anmat X100u Tricapa,$ 84915,15% OFF,https://articulo.mercadolibre.com.ar/MLA-925056776-barbijo-quirurgico-tapaboca-descartable-anmat-x100u-tricapa-_JM?variation=87672032181&hide_psmb=true#reco_item_pos=19&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
17,Samsung Galaxy A12 64 Gb Negro 4 Gb Ram,$ 30.999,11% OFF,https://articulo.mercadolibre.com.ar/MLA-914255387-samsung-galaxy-a12-64-gb-negro-4-gb-ram-_JM?hide_psmb=true#reco_item_pos=20&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
18,Soldadora Inverter Cm250 3en1 Mig-tig-mma Pampa 2 Años Gta,$ 36.099,33% OFF,https://articulo.mercadolibre.com.ar/MLA-799749416-soldadora-inverter-cm250-3en1-mig-tig-mma-pampa-2-anos-gta-_JM?variation=40300189134&hide_psmb=true#reco_item_pos=21&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
19,Apple AirPods Con Estuche De Carga - Blanco,$ 17.54910,10% OFF,https://articulo.mercadolibre.com.ar/MLA-899081746-apple-airpods-con-estuche-de-carga-blanco-_JM?hide_psmb=true#reco_item_pos=22&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
20,Notebook Hp Stream 14-ax112la Celeron N4020 4gb 64gb Win 10,$ 49.999,24% OFF,https://articulo.mercadolibre.com.ar/MLA-918035172-notebook-hp-stream-14-ax112la-celeron-n4020-4gb-64gb-win-10-_JM?variation=82925226441&hide_psmb=true#reco_item_pos=24&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
21,Combo X2 Neumaticos Pirelli 175/65r14 P400ev 82h Cuotas,$ 29.65712,8% OFF,https://articulo.mercadolibre.com.ar/MLA-844094108-combo-x2-neumaticos-pirelli-17565r14-p400ev-82h-cuotas-_JM?hide_psmb=true#reco_item_pos=25&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
22,Xiaomi Mi 11 Lite 5g Dual Sim 128 Gb Negro Trufa 6 Gb Ram,$ 77.999,38% OFF,https://articulo.mercadolibre.com.ar/MLA-1104315325-xiaomi-mi-11-lite-5g-dual-sim-128-gb-negro-trufa-6-gb-ram-_JM?hide_psmb=true#reco_item_pos=26&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
23,Pava Eléctrica Atma Pe5717n Color Blanca 220v 1.7l,$ 3.59910,10% OFF,https://articulo.mercadolibre.com.ar/MLA-580019483-pava-electrica-atma-pe5717n-color-blanca-220v-17l-_JM?hide_psmb=true#reco_item_pos=27&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=BUY_BOX_WINNER
24,Pared Decowall Placa Auto-adhesiva! 3d! Envios Por 4 Placas!,$ 3.115,11% OFF,https://articulo.mercadolibre.com.ar/MLA-849187077-pared-decowall-placa-auto-adhesiva-3d-envios-por-4-placas-_JM?variation=53938801768&hide_psmb=true#reco_item_pos=28&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
25,Smart Tv Telefunken Tk3219k5 Led Hd 32 ,$ 26.999,8% OFF,https://articulo.mercadolibre.com.ar/MLA-918612412-smart-tv-telefunken-tk3219k5-led-hd-32-_JM?hide_psmb=true#reco_item_pos=29&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
26,Lijadora Orbital Bosch Professional Gss 140 Azul 220v,$ 8.159,20% OFF,https://articulo.mercadolibre.com.ar/MLA-923623340-lijadora-orbital-bosch-professional-gss-140-azul-220v-_JM?hide_psmb=true#reco_item_pos=30&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
27,Perfume Mujer Rapsodia Wild Edp 100ml ,$ 1.511,57% OFF,https://articulo.mercadolibre.com.ar/MLA-933417731-perfume-mujer-rapsodia-wild-edp-100ml-_JM?hide_psmb=true#reco_item_pos=31&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
28,Zte Blade A5 Plus 32 Gb Negro 2 Gb Ram,$ 12.59910,10% OFF,https://articulo.mercadolibre.com.ar/MLA-912588566-zte-blade-a5-plus-32-gb-negro-2-gb-ram-_JM?hide_psmb=true#reco_item_pos=32&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
29,Impresora A Color Multifunción Epson Expression Xp-2101 Con Wifi Negra 220v,$ 13.499,10% OFF,https://articulo.mercadolibre.com.ar/MLA-918641948-impresora-a-color-multifuncion-epson-expression-xp-2101-con-wifi-negra-220v-_JM?hide_psmb=true#reco_item_pos=33&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
30,Camara De Seguridad Ip Wifi P2p Hd Vision Nocturna Celular,$ 3.88620,9% OFF,https://articulo.mercadolibre.com.ar/MLA-648156987-camara-de-seguridad-ip-wifi-p2p-hd-vision-nocturna-celular-_JM?variation=94836537351&hide_psmb=true#reco_item_pos=34&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
31,Zapatillas Hombre Euro Jogger Sport R Spòrt,$ 7.21650,15% OFF,https://articulo.mercadolibre.com.ar/MLA-860116473-zapatillas-hombre-euro-jogger-sport-r-sprt-_JM?hide_psmb=true#reco_item_pos=36&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
32,Planchita De Pelo Babylisspro Nano Titanium 2091 Babnt2091t Azul 220v,$ 11.990,19% OFF,https://articulo.mercadolibre.com.ar/MLA-875908094-planchita-de-pelo-babylisspro-nano-titanium-2091-babnt2091t-azul-220v-_JM?hide_psmb=true#reco_item_pos=37&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
33,Carro Porta Herramientas 3 En 1 Desmontable Klatter,$ 6.498,13% OFF,https://articulo.mercadolibre.com.ar/MLA-903394546-carro-porta-herramientas-3-en-1-desmontable-klatter-_JM?hide_psmb=true#reco_item_pos=38&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
34,Taladro Atornillador Inalambrico Philco 14.4v Litio Maleta,$ 7.599,37% OFF,https://articulo.mercadolibre.com.ar/MLA-760910212-taladro-atornillador-inalambrico-philco-144v-litio-maleta-_JM?variation=73558585258&hide_psmb=true#reco_item_pos=39&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
35,Samsung Galaxy A32 128 Gb Awesome Blue 4 Gb Ram,$ 45.999,8% OFF,https://articulo.mercadolibre.com.ar/MLA-922141962-samsung-galaxy-a32-128-gb-awesome-blue-4-gb-ram-_JM?hide_psmb=true#reco_item_pos=40&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
36,"Notebook Lenovo Ideapad 15iml05  Abyss Blue Táctil 15.6 , Intel Core I3 10110u  8gb De Ram 256gb Ssd, Intel Uhd Graphics 620 1366x768px Windows 10 Home",$ 75.59112,12% OFF,https://articulo.mercadolibre.com.ar/MLA-930011574-notebook-lenovo-ideapad-15iml05-abyss-blue-tactil-156-intel-core-i3-10110u-8gb-de-ram-256gb-ssd-intel-uhd-graphics-620-1366x768px-windows-10-home-_JM?hide_psmb=true#reco_item_pos=41&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
37,Sillon Reposera Alta 5 Pos. Reforzada  120kg Promo X 2 Unid.,$ 11.511,10% OFF,https://articulo.mercadolibre.com.ar/MLA-915346188-sillon-reposera-alta-5-pos-reforzada-120kg-promo-x-2-unid-_JM?variation=81376364473&hide_psmb=true#reco_item_pos=42&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=LIGHTNING_DEAL
38,Pava Eléctrica Philips Hd9306 Daily Collection Color Plateada Metálica Y Negra 220v 1.5l,$ 5.03910,9% OFF,https://articulo.mercadolibre.com.ar/MLA-907721433-pava-electrica-philips-hd9306-daily-collection-color-plateada-metalica-y-negra-220v-15l-_JM?hide_psmb=true#reco_item_pos=43&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
39,Samsung Galaxy A12 128 Gb Negro 4 Gb Ram,$ 35.999,10% OFF,https://articulo.mercadolibre.com.ar/MLA-927155675-samsung-galaxy-a12-128-gb-negro-4-gb-ram-_JM?hide_psmb=true#reco_item_pos=45&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
40,Ultraflex Colageno Hidrolizado Huesos Y Articulacion  X 2 Un,$ 4.858,24% OFF,https://articulo.mercadolibre.com.ar/MLA-775162150-ultraflex-colageno-hidrolizado-huesos-y-articulacion-x-2-un-_JM?variation=64381122138&hide_psmb=true#reco_item_pos=47&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
